session_id,timestamp,valid_data,activation,scl_avg
63727700-2c39-11f1-8080-808080808080,1774876168,true,false,19.961753845214844
63727700-2c39-11f1-8080-808080808080,1774876168,true,false,19.944759368896484
63727700-2c39-11f1-8080-808080808080,1774876173,true,false,19.931516647338867
63727700-2c39-11f1-8080-808080808080,1774876173,true,false,19.932111740112305
63727700-2c39-11f1-8080-808080808080,1774876173,true,true,19.948715209960938
63727700-2c39-11f1-8080-808080808080,1774876173,true,false,19.97889518737793
63727700-2c39-11f1-8080-808080808080,1774876173,true,false,20.024009704589844
63727700-2c39-11f1-8080-808080808080,1774876178,true,false,20.09976577758789
63727700-2c39-11f1-8080-808080808080,1774876178,true,false,20.17046356201172
63727700-2c39-11f1-8080-808080808080,1774876178,true,false,20.248003005981445
63727700-2c39-11f1-8080-808080808080,1774876178,true,false,20.326372146606445
63727700-2c39-11f1-8080-808080808080,1774876178,true,false,20.39948844909668
63727700-2c39-11f1-8080-808080808080,1774876183,true,false,20.491493225097656
63727700-2c39-11f1-8080-808080808080,1774876183,true,false,20.565767288208008
63727700-2c39-11f1-8080-808080808080,1774876183,true,false,20.64145851135254
63727700-2c39-11f1-8080-808080808080,1774876183,true,false,20.720008850097656
63727700-2c39-11f1-8080-808080808080,1774876183,false,true,20.798625946044922
63727700-2c39-11f1-8080-808080808080,1774876188,true,false,20.891210556030273
63727700-2c39-11f1-8080-808080808080,1774876188,true,false,20.958477020263672
63727700-2c39-11f1-8080-808080808080,1774876188,true,false,21.01963233947754
63727700-2c39-11f1-8080-808080808080,1774876188,true,true,21.079484939575195
63727700-2c39-11f1-8080-808080808080,1774876188,true,false,21.15271759033203
63727700-2c39-11f1-8080-808080808080,1774876193,true,false,21.203197479248047
63727700-2c39-11f1-8080-808080808080,1774876193,true,false,21.249099731445312
63727700-2c39-11f1-8080-808080808080,1774876193,true,false,21.29347801208496
63727700-2c39-11f1-8080-808080808080,1774876193,true,false,21.339859008789062
