timestamp;charging;in_charger;level
2026-01-21T20:11:44.700Z;False;False;19
2026-01-21T21:11:44.600Z;False;False;19
2026-01-21T22:11:44.600Z;False;False;19
2026-01-21T23:11:44.600Z;False;False;19
2026-01-22T00:11:44.600Z;False;False;19
2026-01-22T01:11:44.600Z;False;False;19
2026-01-22T01:51:45.600Z;False;False;18
2026-01-22T02:51:44.600Z;False;False;18
2026-01-22T03:51:44.600Z;False;False;18
2026-01-22T04:51:44.600Z;False;False;18
2026-01-22T05:01:44.700Z;False;False;17
2026-01-22T06:01:45.400Z;False;False;17
2026-01-22T06:41:45.000Z;False;False;16
2026-01-22T07:11:44.800Z;False;False;15
2026-01-22T08:11:44.200Z;False;False;15
2026-01-22T09:01:45.000Z;False;False;14
2026-01-22T10:01:44.800Z;False;False;14
2026-01-22T11:01:44.700Z;False;False;14
2026-01-22T12:01:44.800Z;False;False;14
2026-01-22T12:11:45.000Z;False;False;13
2026-01-22T12:51:44.400Z;False;False;12
2026-01-22T13:11:45.100Z;False;False;13
2026-01-22T14:11:43.500Z;False;False;13
2026-01-22T14:51:44.200Z;False;False;12
2026-01-22T15:51:44.700Z;False;False;12
2026-01-22T16:21:44.800Z;False;False;11
2026-01-22T17:21:42.200Z;False;False;11
2026-01-22T18:01:44.200Z;False;False;12
2026-01-22T18:31:43.300Z;False;False;11
2026-01-22T19:31:44.300Z;False;False;11
2026-01-22T20:31:44.600Z;False;False;11
2026-01-22T21:31:44.900Z;False;False;11
2026-01-22T22:31:44.600Z;False;False;11
2026-01-22T23:31:44.600Z;False;False;11
2026-01-23T00:11:44.700Z;False;False;10
2026-01-23T01:11:44.600Z;False;False;10
2026-01-23T02:11:44.600Z;False;False;10
2026-01-23T02:51:44.800Z;False;False;9
2026-01-23T03:51:44.300Z;False;False;9
2026-01-23T04:51:44.300Z;False;False;9
2026-01-23T05:51:44.400Z;False;False;9
2026-01-23T05:57:05.700Z;True;False;9
2026-01-23T05:59:31.400Z;True;True;10
2026-01-23T06:00:31.400Z;True;True;12
2026-01-23T06:01:31.400Z;True;True;16
2026-01-23T06:02:31.400Z;True;True;20
2026-01-23T06:03:31.400Z;True;True;22
2026-01-23T06:04:31.400Z;True;True;23
2026-01-23T06:05:31.400Z;True;True;25
2026-01-23T06:06:31.400Z;True;True;27
2026-01-23T06:07:31.400Z;True;True;28
2026-01-23T06:08:31.400Z;True;True;30
2026-01-23T06:09:31.400Z;True;True;32
2026-01-23T06:10:31.400Z;True;True;34
2026-01-23T06:11:31.400Z;True;True;35
2026-01-23T06:12:31.500Z;True;True;37
2026-01-23T06:13:31.500Z;True;True;39
2026-01-23T06:14:31.500Z;True;True;40
2026-01-23T06:15:31.500Z;True;True;42
2026-01-23T06:16:31.500Z;True;True;43
2026-01-23T06:17:31.500Z;True;True;44
2026-01-23T06:18:31.500Z;True;True;45
2026-01-23T06:19:31.500Z;True;True;46
2026-01-23T06:20:32.000Z;True;True;48
2026-01-23T06:21:32.000Z;True;True;49
2026-01-23T06:22:32.000Z;True;True;51
2026-01-23T06:23:37.000Z;True;True;52
2026-01-23T06:24:37.000Z;True;True;53
2026-01-23T06:25:37.000Z;True;True;54
2026-01-23T06:26:37.000Z;True;True;55
2026-01-23T06:27:37.000Z;True;True;56
2026-01-23T06:28:37.000Z;True;True;57
2026-01-23T06:29:37.000Z;True;True;58
2026-01-23T06:30:37.000Z;True;True;59
2026-01-23T06:31:37.000Z;True;True;60
2026-01-23T06:32:37.000Z;True;True;61
2026-01-23T06:32:52.600Z;False;False;61
2026-01-23T06:36:12.200Z;False;False;62
2026-01-23T06:37:21.200Z;False;False;63
2026-01-23T06:44:27.300Z;False;False;64
2026-01-23T07:03:32.400Z;False;False;65
2026-01-23T07:19:12.400Z;False;False;64
2026-01-23T08:22:56.600Z;False;False;63
2026-01-23T09:02:55.500Z;False;False;62
2026-01-23T10:02:57.200Z;False;False;62
2026-01-23T10:12:56.300Z;False;False;61
2026-01-23T11:12:57.200Z;False;False;61
2026-01-23T11:22:57.300Z;False;False;60
2026-01-23T12:22:56.500Z;False;False;60
2026-01-23T12:52:57.200Z;False;False;59
2026-01-23T13:52:57.100Z;False;False;59
2026-01-23T14:52:56.700Z;False;False;59
2026-01-23T15:22:56.900Z;False;False;58
2026-01-23T16:22:56.600Z;False;False;58
2026-01-23T17:22:56.800Z;False;False;57
2026-01-23T18:22:56.700Z;False;False;57
2026-01-23T19:22:56.700Z;False;False;57
2026-01-23T20:12:55.800Z;False;False;56
2026-01-23T21:12:56.600Z;False;False;56
2026-01-23T22:12:56.600Z;False;False;56
2026-01-23T22:22:56.700Z;False;False;55
2026-01-23T23:22:56.600Z;False;False;55
2026-01-24T00:12:56.700Z;False;False;54
2026-01-24T01:12:56.600Z;False;False;54
2026-01-24T02:12:56.600Z;False;False;54
2026-01-24T02:22:56.700Z;False;False;53
2026-01-24T03:22:55.200Z;False;False;53
2026-01-24T03:52:56.500Z;False;False;52
2026-01-24T04:52:56.700Z;False;False;52
2026-01-24T05:32:56.500Z;False;False;51
2026-01-24T06:32:55.200Z;False;False;51
2026-01-24T07:02:55.300Z;False;False;50
2026-01-24T07:42:55.300Z;False;False;49
2026-01-24T08:42:56.200Z;False;False;49
2026-01-24T09:32:57.100Z;False;False;48
2026-01-24T10:32:55.000Z;False;False;48
2026-01-24T11:32:56.900Z;False;False;48
2026-01-24T11:52:56.100Z;False;False;47
2026-01-24T12:52:57.100Z;False;False;47
2026-01-24T13:52:56.200Z;False;False;47
2026-01-24T14:52:57.500Z;False;False;47
2026-01-24T15:12:56.300Z;False;False;46
2026-01-24T15:22:56.000Z;False;False;47
2026-01-24T16:22:56.200Z;False;False;46
2026-01-24T17:22:56.500Z;False;False;46
2026-01-24T18:32:56.100Z;False;False;46
2026-01-24T19:32:56.600Z;False;False;45
2026-01-24T20:32:55.500Z;False;False;45
2026-01-24T21:32:55.600Z;False;False;45
2026-01-24T22:12:55.700Z;False;False;44
2026-01-24T23:12:56.700Z;False;False;44
2026-01-25T00:12:56.700Z;False;False;44
2026-01-25T01:12:56.800Z;False;False;43
2026-01-25T02:12:56.700Z;False;False;43
2026-01-25T03:12:56.200Z;False;False;43
2026-01-25T03:52:56.700Z;False;False;42
2026-01-25T04:52:56.600Z;False;False;42
2026-01-25T05:52:56.600Z;False;False;42
2026-01-25T06:12:56.700Z;False;False;41
2026-01-25T07:12:56.700Z;False;False;41
2026-01-25T08:12:56.600Z;False;False;41
2026-01-25T09:12:56.700Z;False;False;40
2026-01-25T10:12:56.100Z;False;False;40
2026-01-25T11:12:56.000Z;False;False;40
2026-01-25T11:52:56.700Z;False;False;39
2026-01-25T12:52:56.300Z;False;False;39
2026-01-25T13:02:56.400Z;False;False;38
2026-01-25T14:02:56.300Z;False;False;38
2026-01-25T15:02:55.000Z;False;False;38
2026-01-25T16:02:55.400Z;False;False;38
2026-01-25T17:02:56.200Z;False;False;38
2026-01-25T18:02:56.300Z;False;False;38
