timestamp;bpm;source
2026-01-15T23:31:44.000Z;58;rest
2026-01-15T23:36:44.000Z;58;rest
2026-01-15T23:41:44.000Z;60;rest
2026-01-15T23:46:44.000Z;61;rest
2026-01-15T23:51:44.000Z;62;rest
2026-01-15T23:56:44.000Z;61;rest
2026-01-16T00:01:44.000Z;58;rest
2026-01-16T00:06:44.000Z;57;rest
2026-01-16T00:11:44.000Z;58;rest
2026-01-16T00:16:44.000Z;58;rest
2026-01-16T00:21:44.000Z;57;rest
2026-01-16T00:26:44.000Z;57;rest
2026-01-16T00:31:44.000Z;57;rest
2026-01-16T00:36:44.000Z;58;rest
2026-01-16T00:41:44.000Z;58;rest
2026-01-16T00:46:44.000Z;58;rest
2026-01-16T00:51:44.000Z;57;rest
2026-01-16T00:56:44.000Z;57;rest
2026-01-16T01:01:44.000Z;58;rest
2026-01-16T01:06:44.000Z;57;rest
2026-01-16T01:11:44.000Z;57;rest
2026-01-16T01:16:44.000Z;60;rest
2026-01-16T01:21:44.000Z;58;rest
2026-01-16T01:26:44.000Z;60;rest
2026-01-16T01:31:44.000Z;58;rest
2026-01-16T01:36:44.000Z;58;rest
2026-01-16T01:41:44.000Z;58;rest
2026-01-16T01:46:44.000Z;57;rest
2026-01-16T01:51:44.000Z;58;rest
2026-01-16T01:56:44.000Z;58;rest
2026-01-16T02:01:44.000Z;57;rest
2026-01-16T02:06:44.000Z;57;rest
2026-01-16T02:11:44.000Z;59;rest
2026-01-16T02:16:44.000Z;57;rest
2026-01-16T02:21:44.000Z;56;rest
2026-01-16T02:26:44.000Z;57;rest
2026-01-16T02:31:44.000Z;58;rest
2026-01-16T02:36:44.000Z;58;rest
2026-01-16T02:41:44.000Z;59;rest
2026-01-16T02:46:44.000Z;58;rest
2026-01-16T02:51:44.000Z;59;rest
2026-01-16T02:56:44.000Z;60;rest
2026-01-16T03:01:44.000Z;62;rest
2026-01-16T03:06:44.000Z;60;rest
2026-01-16T03:11:44.000Z;58;rest
2026-01-16T03:16:44.000Z;58;rest
2026-01-16T03:21:44.000Z;59;rest
2026-01-16T03:23:30.000Z;61;rest
2026-01-16T03:28:30.000Z;60;rest
2026-01-16T03:51:59.000Z;61;awake
2026-01-16T03:56:24.000Z;66;awake
2026-01-16T04:02:34.000Z;68;awake
2026-01-16T04:02:35.000Z;66;awake
2026-01-16T04:03:35.000Z;64;awake
2026-01-16T04:07:57.000Z;75;awake
2026-01-16T04:08:01.000Z;72;awake
2026-01-16T04:08:35.000Z;73;awake
2026-01-16T04:13:16.000Z;74;awake
2026-01-16T04:13:17.000Z;73;awake
2026-01-16T04:14:20.000Z;71;awake
2026-01-16T04:18:08.000Z;81;awake
2026-01-16T04:18:31.000Z;78;rest
2026-01-16T04:18:36.000Z;83;awake
2026-01-16T04:19:17.000Z;87;awake
2026-01-16T04:23:31.000Z;78;rest
2026-01-16T04:28:31.000Z;82;rest
2026-01-16T04:33:31.000Z;103;rest
2026-01-16T04:38:31.000Z;97;rest
2026-01-16T04:43:31.000Z;109;rest
2026-01-16T05:00:59.000Z;84;awake
2026-01-16T05:01:22.000Z;85;awake
2026-01-16T05:01:23.000Z;84;awake
2026-01-16T05:30:58.000Z;120;awake
2026-01-16T05:31:00.000Z;119;awake
2026-01-16T05:31:11.000Z;116;awake
2026-01-16T05:47:43.000Z;86;awake
2026-01-16T05:47:46.000Z;84;awake
2026-01-16T05:48:36.000Z;87;awake
2026-01-16T05:52:43.000Z;84;awake
2026-01-16T05:53:12.000Z;86;awake
2026-01-16T05:53:32.000Z;86;awake
2026-01-16T05:55:01.000Z;86;awake
2026-01-16T05:55:02.000Z;85;awake
2026-01-16T05:55:35.000Z;87;awake
2026-01-16T06:06:53.000Z;85;awake
2026-01-16T06:07:10.000Z;79;awake
2026-01-16T06:07:26.000Z;82;awake
2026-01-16T06:13:01.100Z;104;workout
2026-01-16T06:13:06.100Z;105;workout
2026-01-16T06:13:11.100Z;106;workout
2026-01-16T06:13:16.100Z;107;workout
2026-01-16T06:13:21.100Z;107;workout
2026-01-16T06:13:26.100Z;108;workout
2026-01-16T06:13:31.100Z;109;workout
2026-01-16T06:13:36.100Z;111;workout
2026-01-16T06:13:41.100Z;113;workout
2026-01-16T06:13:46.100Z;115;workout
2026-01-16T06:13:51.100Z;116;workout
2026-01-16T06:13:56.100Z;115;workout
2026-01-16T06:14:01.100Z;114;workout
2026-01-16T06:14:06.100Z;113;workout
2026-01-16T06:14:11.100Z;112;workout
2026-01-16T06:14:16.100Z;112;workout
2026-01-16T06:14:21.100Z;112;workout
2026-01-16T06:14:26.100Z;111;workout
2026-01-16T06:14:31.100Z;109;workout
2026-01-16T06:14:36.100Z;107;workout
