timestamp,distance,data source
2026-04-02T09:30:00Z,5.70,Charge 6
2026-04-02T09:31:00Z,6.40,Charge 6
2026-04-02T09:32:00Z,3.50,Charge 6
2026-04-02T09:38:00Z,10.00,Charge 6
2026-04-02T09:39:00Z,9.30,Charge 6
2026-04-02T09:49:00Z,12.90,Charge 6
2026-04-02T09:50:00Z,15.70,Charge 6
2026-04-02T09:51:00Z,14.30,Charge 6
2026-04-02T09:52:00Z,5.70,Charge 6
2026-04-02T09:53:00Z,11.40,Charge 6
2026-04-02T09:55:00Z,6.40,Charge 6
2026-04-02T09:56:00Z,30.10,Charge 6
2026-04-02T09:57:00Z,25.80,Charge 6
2026-04-02T09:59:00Z,17.90,Charge 6
2026-04-02T10:00:00Z,2.10,Charge 6
2026-04-02T10:09:00Z,25.80,Charge 6
2026-04-02T10:16:00Z,8.60,Charge 6
2026-04-02T10:25:00Z,7.80,Charge 6
2026-04-02T10:42:00Z,10.70,Charge 6
2026-04-02T10:43:00Z,24.40,Charge 6
2026-04-02T10:44:00Z,9.30,Charge 6
2026-04-02T10:45:00Z,49.50,Charge 6
2026-04-02T10:46:00Z,3.50,Charge 6
2026-04-02T10:48:00Z,5.00,Charge 6
2026-04-02T10:56:00Z,4.30,Charge 6
2026-04-02T10:57:00Z,16.50,Charge 6
2026-04-02T10:58:00Z,29.40,Charge 6
2026-04-02T10:59:00Z,15.00,Charge 6
2026-04-02T11:00:00Z,5.70,Charge 6
2026-04-02T11:02:00Z,9.30,Charge 6
2026-04-02T11:03:00Z,7.80,Charge 6
2026-04-02T11:09:00Z,22.90,Charge 6
2026-04-02T11:11:00Z,8.60,Charge 6
2026-04-02T11:12:00Z,19.30,Charge 6
2026-04-02T11:13:00Z,68.20,Charge 6
2026-04-02T11:14:00Z,74.00,Charge 6
2026-04-02T11:15:00Z,71.10,Charge 6
2026-04-02T11:16:00Z,40.20,Charge 6
2026-04-02T11:17:00Z,64.60,Charge 6
2026-04-02T11:18:00Z,27.30,Charge 6
2026-04-02T11:19:00Z,53.80,Charge 6
2026-04-02T11:20:00Z,45.20,Charge 6
2026-04-02T11:21:00Z,28.00,Charge 6
2026-04-02T11:22:00Z,56.70,Charge 6
2026-04-02T11:23:00Z,46.70,Charge 6
2026-04-02T11:24:00Z,28.70,Charge 6
2026-04-02T11:25:00Z,43.80,Charge 6
2026-04-02T11:26:00Z,7.90,Charge 6
2026-04-02T11:27:00Z,34.40,Charge 6
2026-04-02T11:28:00Z,36.60,Charge 6
2026-04-02T11:29:00Z,15.80,Charge 6
2026-04-02T11:30:00Z,38.70,Charge 6
2026-04-02T11:31:00Z,56.00,Charge 6
2026-04-02T11:32:00Z,22.90,Charge 6
2026-04-02T11:33:00Z,8.60,Charge 6
2026-04-02T11:57:00Z,7.10,Charge 6
2026-04-02T11:58:00Z,8.60,Charge 6
2026-04-02T12:01:00Z,12.20,Charge 6
2026-04-02T12:04:00Z,17.90,Charge 6
2026-04-02T12:08:00Z,4.30,Charge 6
2026-04-02T12:10:00Z,5.00,Charge 6
2026-04-02T12:14:00Z,2.80,Charge 6
2026-04-02T12:17:00Z,5.00,Charge 6
2026-04-02T12:25:00Z,10.70,Charge 6
2026-04-02T12:26:00Z,1.40,Charge 6
2026-04-02T12:36:00Z,7.80,Charge 6
2026-04-02T12:40:00Z,5.70,Charge 6
2026-04-02T12:51:00Z,20.80,Charge 6
2026-04-02T12:58:00Z,10.00,Charge 6
2026-04-02T12:59:00Z,1.40,Charge 6
2026-04-02T13:07:00Z,26.50,Charge 6
2026-04-02T13:09:00Z,12.90,Charge 6
2026-04-02T13:19:00Z,13.60,Charge 6
2026-04-02T13:20:00Z,13.60,Charge 6
2026-04-02T13:30:00Z,5.70,Charge 6
2026-04-02T13:36:00Z,10.00,Charge 6
2026-04-02T13:37:00Z,18.60,Charge 6
2026-04-02T13:49:00Z,10.70,Charge 6
2026-04-02T13:50:00Z,8.60,Charge 6
2026-04-02T13:51:00Z,31.60,Charge 6
2026-04-02T13:52:00Z,17.90,Charge 6
2026-04-02T13:53:00Z,37.30,Charge 6
2026-04-02T13:55:00Z,12.20,Charge 6
2026-04-02T13:56:00Z,26.50,Charge 6
2026-04-02T14:20:00Z,10.70,Charge 6
2026-04-02T14:48:00Z,4.30,Charge 6
2026-04-02T14:49:00Z,3.50,Charge 6
2026-04-02T14:52:00Z,6.40,Charge 6
2026-04-02T14:56:00Z,5.70,Charge 6
2026-04-02T14:57:00Z,12.90,Charge 6
2026-04-02T14:58:00Z,15.70,Charge 6
2026-04-02T15:48:00Z,16.50,Charge 6
2026-04-02T15:49:00Z,5.70,Charge 6
2026-04-02T15:50:00Z,18.60,Charge 6
2026-04-02T15:51:00Z,20.80,Charge 6
2026-04-02T15:52:00Z,16.50,Charge 6
2026-04-02T15:56:00Z,12.90,Charge 6
2026-04-02T15:57:00Z,4.30,Charge 6
2026-04-02T15:58:00Z,4.30,Charge 6
2026-04-02T16:00:00Z,6.40,Charge 6
2026-04-02T16:01:00Z,7.80,Charge 6
2026-04-02T16:03:00Z,17.90,Charge 6
2026-04-02T16:04:00Z,5.00,Charge 6
2026-04-02T16:05:00Z,25.10,Charge 6
2026-04-02T16:06:00Z,20.80,Charge 6
2026-04-02T16:07:00Z,5.00,Charge 6
2026-04-02T16:11:00Z,21.50,Charge 6
2026-04-02T16:22:00Z,13.60,Charge 6
2026-04-02T16:23:00Z,25.80,Charge 6
2026-04-02T16:24:00Z,10.00,Charge 6
2026-04-02T16:25:00Z,5.00,Charge 6
2026-04-02T16:30:00Z,4.30,Charge 6
2026-04-02T17:01:00Z,5.00,Charge 6
2026-04-02T17:04:00Z,6.40,Charge 6
2026-04-02T17:15:00Z,19.30,Charge 6
2026-04-02T17:20:00Z,10.00,Charge 6
2026-04-02T17:22:00Z,22.20,Charge 6
2026-04-02T17:23:00Z,12.20,Charge 6
2026-04-02T17:40:00Z,4.30,Charge 6
