timestamp,root mean square of successive differences milliseconds,standard deviation milliseconds,data source
2026-04-04T01:00:00Z,10.0,0.0,Fitbit App
2026-04-04T01:05:00Z,9.6,0.0,Fitbit App
2026-04-04T01:10:00Z,10.2,0.0,Fitbit App
2026-04-04T01:15:00Z,11.1,0.0,Fitbit App
2026-04-04T01:20:00Z,9.0,0.0,Fitbit App
2026-04-04T01:25:00Z,12.5,0.0,Fitbit App
2026-04-04T01:30:00Z,15.1,0.0,Fitbit App
2026-04-04T02:00:00Z,15.2,0.0,Fitbit App
2026-04-04T02:05:00Z,8.4,0.0,Fitbit App
2026-04-04T02:15:00Z,14.8,0.0,Fitbit App
2026-04-04T02:20:00Z,14.6,0.0,Fitbit App
2026-04-04T02:25:00Z,17.1,0.0,Fitbit App
2026-04-04T02:30:00Z,11.5,0.0,Fitbit App
2026-04-04T02:35:00Z,11.0,0.0,Fitbit App
2026-04-04T02:40:00Z,11.0,0.0,Fitbit App
2026-04-04T02:45:00Z,11.3,0.0,Fitbit App
2026-04-04T02:50:00Z,11.8,0.0,Fitbit App
2026-04-04T02:55:00Z,14.4,0.0,Fitbit App
2026-04-04T03:00:00Z,14.9,0.0,Fitbit App
2026-04-04T03:05:00Z,13.2,0.0,Fitbit App
2026-04-04T03:10:00Z,12.3,0.0,Fitbit App
2026-04-04T03:15:00Z,11.8,0.0,Fitbit App
2026-04-04T03:20:00Z,12.2,0.0,Fitbit App
2026-04-04T03:25:00Z,12.6,0.0,Fitbit App
2026-04-04T03:30:00Z,15.5,0.0,Fitbit App
2026-04-04T03:35:00Z,14.1,0.0,Fitbit App
2026-04-04T03:40:00Z,13.6,0.0,Fitbit App
2026-04-04T03:45:00Z,11.1,0.0,Fitbit App
2026-04-04T03:50:00Z,10.7,0.0,Fitbit App
2026-04-04T03:55:00Z,11.8,0.0,Fitbit App
2026-04-04T04:00:00Z,14.4,0.0,Fitbit App
2026-04-04T04:05:00Z,13.4,0.0,Fitbit App
2026-04-04T04:10:00Z,10.2,0.0,Fitbit App
2026-04-04T04:15:00Z,12.0,0.0,Fitbit App
2026-04-04T04:20:00Z,10.8,0.0,Fitbit App
2026-04-04T04:25:00Z,12.3,0.0,Fitbit App
2026-04-04T04:30:00Z,12.0,0.0,Fitbit App
2026-04-04T04:35:00Z,19.0,0.0,Fitbit App
2026-04-04T04:40:00Z,14.2,0.0,Fitbit App
2026-04-04T04:45:00Z,14.1,0.0,Fitbit App
2026-04-04T04:50:00Z,13.2,0.0,Fitbit App
2026-04-04T04:55:00Z,13.2,0.0,Fitbit App
2026-04-04T05:00:00Z,12.3,0.0,Fitbit App
2026-04-04T05:05:00Z,11.6,0.0,Fitbit App
2026-04-04T05:10:00Z,10.1,0.0,Fitbit App
2026-04-04T05:15:00Z,16.3,0.0,Fitbit App
2026-04-05T01:40:00Z,24.4,0.0,Fitbit App
2026-04-05T01:45:00Z,26.0,0.0,Fitbit App
2026-04-05T01:50:00Z,28.4,0.0,Fitbit App
2026-04-05T01:55:00Z,24.8,0.0,Fitbit App
2026-04-05T02:00:00Z,30.0,0.0,Fitbit App
2026-04-05T02:05:00Z,25.5,0.0,Fitbit App
2026-04-05T02:10:00Z,19.2,0.0,Fitbit App
2026-04-05T02:15:00Z,14.4,0.0,Fitbit App
2026-04-05T02:20:00Z,14.1,0.0,Fitbit App
