timestamp,beats per minute,data source
2026-04-08T00:07:38Z,57.0,Charge 6
2026-04-08T00:07:41Z,57.0,Charge 6
2026-04-08T00:07:44Z,57.0,Charge 6
2026-04-08T00:07:47Z,57.0,Charge 6
2026-04-08T00:07:50Z,57.0,Charge 6
2026-04-08T00:07:53Z,57.0,Charge 6
2026-04-08T00:07:56Z,57.0,Charge 6
2026-04-08T00:07:59Z,57.0,Charge 6
2026-04-08T00:08:02Z,57.0,Charge 6
2026-04-08T00:08:05Z,57.0,Charge 6
2026-04-08T00:08:07Z,56.0,Charge 6
2026-04-08T00:08:10Z,56.0,Charge 6
2026-04-08T00:08:13Z,56.0,Charge 6
2026-04-08T00:08:16Z,56.0,Charge 6
2026-04-08T00:08:19Z,56.0,Charge 6
2026-04-08T00:08:22Z,56.0,Charge 6
2026-04-08T00:08:25Z,56.0,Charge 6
2026-04-08T00:08:28Z,56.0,Charge 6
2026-04-08T00:08:30Z,57.0,Charge 6
2026-04-08T00:08:33Z,57.0,Charge 6
2026-04-08T00:08:35Z,58.0,Charge 6
2026-04-08T00:08:38Z,58.0,Charge 6
2026-04-08T00:08:40Z,57.0,Charge 6
2026-04-08T00:08:43Z,57.0,Charge 6
2026-04-08T00:08:46Z,57.0,Charge 6
2026-04-08T00:08:49Z,57.0,Charge 6
2026-04-08T00:08:50Z,56.0,Charge 6
2026-04-08T00:08:53Z,56.0,Charge 6
2026-04-08T00:08:56Z,56.0,Charge 6
2026-04-08T00:08:59Z,56.0,Charge 6
2026-04-08T00:09:02Z,56.0,Charge 6
2026-04-08T00:09:05Z,56.0,Charge 6
2026-04-08T00:09:08Z,56.0,Charge 6
2026-04-08T00:09:11Z,56.0,Charge 6
2026-04-08T00:09:14Z,56.0,Charge 6
2026-04-08T00:09:17Z,57.0,Charge 6
2026-04-08T00:09:19Z,58.0,Charge 6
2026-04-08T00:09:22Z,58.0,Charge 6
2026-04-08T00:09:25Z,58.0,Charge 6
2026-04-08T00:09:28Z,57.0,Charge 6
2026-04-08T00:09:31Z,57.0,Charge 6
2026-04-08T00:09:34Z,56.0,Charge 6
2026-04-08T00:09:37Z,56.0,Charge 6
2026-04-08T00:09:40Z,56.0,Charge 6
2026-04-08T00:09:43Z,56.0,Charge 6
2026-04-08T00:09:46Z,56.0,Charge 6
2026-04-08T00:09:49Z,56.0,Charge 6
2026-04-08T00:09:52Z,56.0,Charge 6
2026-04-08T00:09:55Z,56.0,Charge 6
2026-04-08T00:09:58Z,56.0,Charge 6
2026-04-08T00:10:01Z,56.0,Charge 6
2026-04-08T00:10:04Z,56.0,Charge 6
