timestamp,temperature celsius,data source
2026-04-13T02:41:00Z,32.9,Charge 6
2026-04-13T02:42:00Z,32.9,Charge 6
2026-04-13T02:43:00Z,32.9,Charge 6
2026-04-13T02:44:00Z,32.9,Charge 6
2026-04-13T02:45:00Z,33.0,Charge 6
2026-04-13T02:46:00Z,32.9,Charge 6
2026-04-13T02:47:00Z,33.0,Charge 6
2026-04-13T02:48:00Z,33.0,Charge 6
2026-04-13T02:49:00Z,33.0,Charge 6
2026-04-13T02:50:00Z,33.0,Charge 6
2026-04-13T02:51:00Z,32.9,Charge 6
2026-04-13T02:52:00Z,33.0,Charge 6
2026-04-13T02:53:00Z,33.0,Charge 6
2026-04-13T02:54:00Z,33.0,Charge 6
2026-04-13T02:55:00Z,33.0,Charge 6
2026-04-13T02:56:00Z,33.0,Charge 6
2026-04-13T02:57:00Z,33.0,Charge 6
2026-04-13T02:58:00Z,33.0,Charge 6
2026-04-13T02:59:00Z,33.1,Charge 6
2026-04-13T03:00:00Z,33.1,Charge 6
2026-04-13T03:01:00Z,33.2,Charge 6
2026-04-13T03:02:00Z,33.2,Charge 6
2026-04-13T03:03:00Z,33.2,Charge 6
2026-04-13T03:04:00Z,33.2,Charge 6
2026-04-13T03:05:00Z,33.4,Charge 6
2026-04-13T03:06:00Z,33.5,Charge 6
2026-04-13T03:07:00Z,33.5,Charge 6
2026-04-13T03:08:00Z,33.5,Charge 6
2026-04-13T03:09:00Z,33.4,Charge 6
2026-04-13T03:10:00Z,33.3,Charge 6
2026-04-13T03:11:00Z,33.3,Charge 6
2026-04-13T03:12:00Z,33.3,Charge 6
2026-04-13T03:13:00Z,33.2,Charge 6
2026-04-13T03:14:00Z,33.3,Charge 6
2026-04-13T03:15:00Z,33.3,Charge 6
2026-04-13T03:16:00Z,33.3,Charge 6
2026-04-13T03:17:00Z,33.4,Charge 6
2026-04-13T03:18:00Z,33.4,Charge 6
2026-04-13T03:19:00Z,33.4,Charge 6
2026-04-13T03:20:00Z,33.3,Charge 6
2026-04-13T03:21:00Z,33.4,Charge 6
2026-04-13T03:22:00Z,33.5,Charge 6
2026-04-13T03:23:00Z,33.5,Charge 6
2026-04-13T03:24:00Z,33.5,Charge 6
2026-04-13T03:25:00Z,33.5,Charge 6
2026-04-13T03:26:00Z,33.6,Charge 6
2026-04-13T03:27:00Z,33.6,Charge 6
2026-04-13T03:28:00Z,33.7,Charge 6
2026-04-13T03:29:00Z,33.7,Charge 6
2026-04-13T03:30:00Z,33.7,Charge 6
2026-04-13T03:31:00Z,33.7,Charge 6
2026-04-13T03:32:00Z,33.6,Charge 6
2026-04-13T03:33:00Z,33.6,Charge 6
2026-04-13T03:34:00Z,33.7,Charge 6
2026-04-13T03:35:00Z,33.7,Charge 6
2026-04-13T03:36:00Z,33.7,Charge 6
2026-04-13T03:37:00Z,33.6,Charge 6
2026-04-13T03:38:00Z,33.6,Charge 6
2026-04-13T03:39:00Z,33.6,Charge 6
2026-04-13T03:40:00Z,33.6,Charge 6
2026-04-13T03:41:00Z,33.6,Charge 6
2026-04-13T03:42:00Z,33.4,Charge 6
2026-04-13T03:43:00Z,33.3,Charge 6
2026-04-13T03:44:00Z,33.4,Charge 6
2026-04-13T03:45:00Z,33.2,Charge 6
2026-04-13T03:46:00Z,33.1,Charge 6
2026-04-13T03:47:00Z,33.0,Charge 6
2026-04-13T03:48:00Z,32.9,Charge 6
2026-04-13T03:49:00Z,32.9,Charge 6
2026-04-13T03:50:00Z,32.8,Charge 6
2026-04-13T03:51:00Z,32.8,Charge 6
2026-04-13T03:52:00Z,32.7,Charge 6
2026-04-13T03:53:00Z,32.8,Charge 6
2026-04-13T03:54:00Z,32.6,Charge 6
2026-04-13T03:55:00Z,32.5,Charge 6
2026-04-13T03:56:00Z,32.5,Charge 6
2026-04-13T03:57:00Z,32.5,Charge 6
2026-04-13T03:58:00Z,32.5,Charge 6
2026-04-13T03:59:00Z,32.4,Charge 6
2026-04-13T04:00:00Z,32.4,Charge 6
2026-04-13T04:01:00Z,32.3,Charge 6
2026-04-13T04:02:00Z,32.3,Charge 6
2026-04-13T04:03:00Z,32.3,Charge 6
2026-04-13T04:04:00Z,32.2,Charge 6
2026-04-13T04:05:00Z,32.2,Charge 6
2026-04-13T04:06:00Z,32.1,Charge 6
2026-04-13T04:07:00Z,31.9,Charge 6
2026-04-13T04:08:00Z,31.7,Charge 6
2026-04-13T04:09:00Z,31.6,Charge 6
2026-04-13T04:10:00Z,31.5,Charge 6
2026-04-13T04:11:00Z,31.4,Charge 6
2026-04-13T04:12:00Z,31.4,Charge 6
2026-04-13T04:13:00Z,31.5,Charge 6
2026-04-13T04:14:00Z,31.4,Charge 6
2026-04-13T04:15:00Z,31.3,Charge 6
2026-04-13T04:16:00Z,31.3,Charge 6
2026-04-13T04:17:00Z,31.3,Charge 6
2026-04-13T04:18:00Z,31.2,Charge 6
2026-04-13T04:19:00Z,30.8,Charge 6
2026-04-13T04:20:00Z,30.8,Charge 6
2026-04-13T04:21:00Z,30.6,Charge 6
2026-04-13T04:22:00Z,30.5,Charge 6
2026-04-13T04:23:00Z,30.4,Charge 6
2026-04-13T04:24:00Z,30.3,Charge 6
2026-04-13T04:25:00Z,30.2,Charge 6
2026-04-13T04:26:00Z,29.7,Charge 6
2026-04-13T04:27:00Z,29.4,Charge 6
2026-04-13T04:28:00Z,29.0,Charge 6
2026-04-13T04:29:00Z,28.8,Charge 6
2026-04-13T04:30:00Z,28.5,Charge 6
2026-04-13T04:31:00Z,28.6,Charge 6
2026-04-13T04:32:00Z,28.5,Charge 6
2026-04-13T04:33:00Z,28.5,Charge 6
2026-04-13T04:34:00Z,28.5,Charge 6
2026-04-13T04:35:00Z,28.4,Charge 6
2026-04-13T04:36:00Z,28.2,Charge 6
2026-04-13T04:37:00Z,27.9,Charge 6
2026-04-13T04:38:00Z,27.7,Charge 6
2026-04-13T04:39:00Z,27.6,Charge 6
2026-04-13T04:40:00Z,27.8,Charge 6
2026-04-13T04:41:00Z,28.0,Charge 6
2026-04-13T04:42:00Z,28.2,Charge 6
2026-04-13T04:43:00Z,28.4,Charge 6
2026-04-13T04:44:00Z,28.6,Charge 6
2026-04-13T04:45:00Z,28.6,Charge 6
2026-04-13T04:46:00Z,28.4,Charge 6
2026-04-13T04:47:00Z,28.1,Charge 6
2026-04-13T04:48:00Z,27.9,Charge 6
2026-04-13T04:49:00Z,27.9,Charge 6
2026-04-13T04:50:00Z,27.9,Charge 6
