timestamp,lap time,stroke count,stroke type,data source
2026-04-04T06:37:18Z,00:00:12.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-04T06:38:11Z,00:00:13.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-04T06:40:12Z,00:00:14.000,10,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-04T06:42:08Z,00:00:19.000,10,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-04T06:43:13Z,00:00:09.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-04T08:15:02Z,00:00:18.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-04T08:16:19Z,00:00:22.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-04T08:16:53Z,00:00:28.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-04T08:18:12Z,00:00:41.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-04T08:22:27Z,00:00:24.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-04T08:23:05Z,00:00:16.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-04T10:17:54Z,00:00:14.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-04T10:18:31Z,00:00:23.000,9,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-04T11:57:03Z,00:00:27.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-04T11:57:51Z,00:00:36.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-04T11:58:35Z,00:00:52.000,12,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-04T11:59:38Z,00:00:19.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-04T12:02:41Z,00:00:13.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-04T12:03:14Z,00:00:20.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-04T12:05:29Z,00:00:34.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-04T12:39:26Z,00:00:19.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-04T14:00:17Z,00:00:13.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-04T14:02:08Z,00:00:13.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-04T14:09:39Z,00:00:15.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-04T14:10:46Z,00:00:11.000,9,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-04T15:20:11Z,00:00:14.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-04T15:20:55Z,00:00:19.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-04T15:27:30Z,00:00:23.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-04T19:43:24Z,00:00:16.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-04T20:18:08Z,00:00:20.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-04T20:19:29Z,00:00:15.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-05T08:30:27Z,00:00:10.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-05T08:31:14Z,00:00:22.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
