id;activity;calories;day;distance;end_datetime;intensity;label;source;start_datetime
a9677241-0c85-479e-a406-9586a2bb1cf7;rowing;216.90606689453125;2026-02-09;32.336210200389395;2026-02-09T08:57:00.000+02:00;moderate;;confirmed;2026-02-09T08:13:00.000+02:00
c7d4695f-46e6-472e-8cf7-69893c53d496;rowing;154.4844207763672;2026-02-11;27.075004543239157;2026-02-11T08:35:00.000+02:00;moderate;;confirmed;2026-02-11T08:03:00.000+02:00
f381ef7f-e01b-438c-8a6c-66ad0b1b491a;walking;33.59900665283203;2026-02-11;401.72802383626095;2026-02-11T20:30:00.000+02:00;moderate;;confirmed;2026-02-11T20:18:00.000+02:00
220eb892-ea18-4029-b33f-21bcf5ca3b37;rowing;223.94354248046875;2026-02-12;58.19872964262558;2026-02-12T08:43:00.000+02:00;moderate;;confirmed;2026-02-12T07:54:00.000+02:00
c3707887-7ae1-44cc-83a4-365a41747241;yardwork;76.87488555908203;2026-02-12;102.51652271696828;2026-02-12T12:50:00.000+02:00;moderate;;confirmed;2026-02-12T12:38:00.000+02:00
931d0074-a8a5-4f56-8bd1-415c906c8d95;rowing;166.1776580810547;2026-02-13;27.489575779083843;2026-02-13T09:05:00.000+02:00;moderate;;confirmed;2026-02-13T08:32:00.000+02:00
49cd4c89-1957-4045-aff6-b3de9406e1d3;walking;64.45271301269531;2026-02-13;890.5160031519465;2026-02-13T17:11:00.000+02:00;moderate;;confirmed;2026-02-13T16:47:00.000+02:00
5a7efcb6-d1bd-4975-a5a4-e96afcb6ca79;rowing;217.1603546142578;2026-02-14;;2026-02-14T08:31:00.000+02:00;moderate;;confirmed;2026-02-14T07:47:00.000+02:00
ccc6f04b-0072-4da8-917a-b48605f3aa69;walking;84.002685546875;2026-02-14;1476.4473354340296;2026-02-14T20:42:00.000+02:00;moderate;;confirmed;2026-02-14T20:21:00.000+02:00
826cbdbc-931e-4bbe-be54-ffd43d9304d8;rowing;84.435302734375;2026-02-16;;2026-02-16T09:35:00.000+02:00;moderate;;confirmed;2026-02-16T09:18:00.000+02:00
a9d0f39c-5ef6-439f-986e-00b91f4330a9;rowing;54.8657112121582;2026-02-16;;2026-02-16T09:47:00.000+02:00;moderate;;confirmed;2026-02-16T09:36:00.000+02:00
903361b9-141c-4782-98d9-d92261a72115;walking;64.78893280029297;2026-02-16;1262.3730128849197;2026-02-16T18:02:00.000+02:00;moderate;;confirmed;2026-02-16T17:45:00.000+02:00
9bb27493-7a36-4e6f-9bc7-b3e663cb1264;rowing;190.52609252929688;2026-02-17;11.22464176480246;2026-02-17T09:02:00.000+02:00;moderate;;confirmed;2026-02-17T08:23:00.000+02:00
bf17a9a9-b589-4a7a-b183-9d66d7fea3b5;kettlebell;168.79371643066406;2026-02-18;121.46228708494344;2026-02-18T18:01:00.000+02:00;moderate;;confirmed;2026-02-18T17:32:00.000+02:00
deebd0cc-1ca6-495b-a901-2ec2860f1dcf;rowing;207.76222229003906;2026-02-19;22.8428378860741;2026-02-19T08:35:00.000+02:00;moderate;;confirmed;2026-02-19T07:55:00.000+02:00
f70678ab-f342-4a90-9c22-89754f07f886;rowing;33.50617218017578;2026-02-19;;2026-02-19T09:21:00.000+02:00;moderate;;confirmed;2026-02-19T09:10:00.000+02:00
73cd99e6-d5f4-4041-89c4-cc845bb1b32d;walking;37.92798614501953;2026-02-22;578.1808195865108;2026-02-22T19:15:00.000+02:00;moderate;;confirmed;2026-02-22T19:03:00.000+02:00
7b5bd172-ad35-4e88-856c-9f20a0c271e1;rowing;69.52294158935547;2026-02-26;71.06950630801155;2026-02-26T09:00:00.000+02:00;moderate;;confirmed;2026-02-26T08:47:00.000+02:00
7c574344-2f06-4929-a2e1-7e96cd911a88;rowing;125.05238342285156;2026-03-02;;2026-03-02T08:22:00.000+02:00;moderate;;confirmed;2026-03-02T07:56:00.000+02:00
168e59ad-d90a-4d25-8b0c-5bed6a2086d0;rowing;254.33880615234375;2026-03-04;141.95623785132733;2026-03-04T08:11:00.000+02:00;moderate;;confirmed;2026-03-04T07:15:00.000+02:00
a60f11da-a738-4a0f-9d0f-54a0d92ca432;kettlebell;65.90994262695312;2026-03-04;;2026-03-04T17:18:00.000+02:00;moderate;;confirmed;2026-03-04T17:05:00.000+02:00
0e188628-e37e-4f2e-bc16-cc6d0c9e7a46;rowing;78.24422454833984;2026-03-05;32.668368159786866;2026-03-05T07:58:00.000+02:00;moderate;;confirmed;2026-03-05T07:36:00.000+02:00
75af2470-a8df-4d97-91ed-5e5dfde25eaf;rowing;150.13719177246094;2026-03-05;10.869707496593488;2026-03-05T08:27:00.000+02:00;moderate;;confirmed;2026-03-05T07:58:00.000+02:00
595083f8-34c4-420d-9387-737b691d66b2;rowing;218.08694458007812;2026-03-06;39.92963824169897;2026-03-06T09:11:00.000+02:00;moderate;;confirmed;2026-03-06T08:27:00.000+02:00
96a7cb43-39f8-4d94-8c87-3e30239d65b4;walking;57.5870475769043;2026-03-06;820.748701527718;2026-03-06T17:06:00.000+02:00;moderate;;confirmed;2026-03-06T16:46:00.000+02:00
7361448c-c209-417e-aab8-903739c1073b;walking;134.04708862304688;2026-03-07;3.1885610048162993;2026-03-07T09:07:00.000+02:00;moderate;;confirmed;2026-03-07T08:33:00.000+02:00
4a5966ba-06e9-4d01-9298-99e2974b795f;houseWork;45.442562103271484;2026-03-07;;2026-03-07T14:32:00.000+02:00;moderate;;confirmed;2026-03-07T14:22:00.000+02:00
